customer_id,signup_date,city,state,zone,rfm_segment
IND_CUST_00001,2024-09-18,Hubballi,Karnataka,South,New & Promising
IND_CUST_00002,2023-12-31,Kota,Rajasthan,North,New & Promising
IND_CUST_00003,2023-03-31,Nizamabad,Telangana,South,Lost Customers
IND_CUST_00004,2023-06-13,Tiruchirappalli,Tamil Nadu,South,Lost Customers
IND_CUST_00005,2024-04-25,Nashik,Maharashtra,West,Potential Loyalists
IND_CUST_00006,2023-03-25,Nagpur,Maharashtra,West,New & Promising
IND_CUST_00007,2023-03-18,Pune,Maharashtra,West,Lost Customers
IND_CUST_00008,2024-05-31,Rajkot,Gujarat,West,Lost Customers
IND_CUST_00009,2024-04-29,Madurai,Tamil Nadu,South,New & Promising
IND_CUST_00010,2024-08-12,Hyderabad,Telangana,South,Lost Customers
IND_CUST_00011,2024-08-25,Nagpur,Maharashtra,West,New & Promising
IND_CUST_00012,2024-08-21,Jaipur,Rajasthan,North,New & Promising
IND_CUST_00013,2023-04-14,Rajkot,Gujarat,West,Potential Loyalists
IND_CUST_00014,2024-03-27,Nagpur,Maharashtra,West,Lost Customers
IND_CUST_00015,2024-05-01,Nagpur,Maharashtra,West,New & Promising
IND_CUST_00016,2023-12-05,Mumbai,Maharashtra,West,New & Promising
IND_CUST_00017,2024-07-19,Hubballi,Karnataka,South,Loyal Customers
IND_CUST_00018,2024-04-22,South Delhi,Delhi,North,New & Promising
IND_CUST_00019,2024-08-29,Dwarka,Delhi,North,Loyal Customers
IND_CUST_00020,2023-08-11,Hubballi,Karnataka,South,Loyal Customers
IND_CUST_00021,2023-01-09,Coimbatore,Tamil Nadu,South,Lost Customers
IND_CUST_00022,2023-02-22,Mumbai,Maharashtra,West,At Risk
IND_CUST_00023,2023-03-18,Hubballi,Karnataka,South,New & Promising
IND_CUST_00024,2024-05-17,Bengaluru,Karnataka,South,New & Promising
IND_CUST_00025,2023-11-12,New Delhi,Delhi,North,New & Promising
IND_CUST_00026,2024-09-15,Noida,Uttar Pradesh,North,New & Promising
IND_CUST_00027,2023-06-14,Nagpur,Maharashtra,West,Potential Loyalists
IND_CUST_00028,2023-10-06,South Delhi,Delhi,North,Lost Customers
IND_CUST_00029,2023-01-27,Chennai,Tamil Nadu,South,New & Promising
IND_CUST_00030,2023-03-11,Pune,Maharashtra,West,New & Promising
IND_CUST_00031,2023-08-06,Chennai,Tamil Nadu,South,New & Promising
IND_CUST_00032,2023-12-31,Pune,Maharashtra,West,New & Promising
IND_CUST_00033,2023-11-02,Mumbai,Maharashtra,West,New & Promising
IND_CUST_00034,2023-05-04,Kota,Rajasthan,North,New & Promising
IND_CUST_00035,2023-01-19,Jaipur,Rajasthan,North,Potential Loyalists
IND_CUST_00036,2023-09-14,Noida,Uttar Pradesh,North,New & Promising
IND_CUST_00037,2023-10-23,Hubballi,Karnataka,South,New & Promising
IND_CUST_00038,2023-01-22,Pune,Maharashtra,West,Champions
IND_CUST_00039,2024-03-25,Warangal,Telangana,South,New & Promising
IND_CUST_00040,2024-07-05,Dwarka,Delhi,North,New & Promising
IND_CUST_00041,2024-07-03,Mumbai,Maharashtra,West,New & Promising
IND_CUST_00042,2023-02-17,South Delhi,Delhi,North,New & Promising
IND_CUST_00043,2024-08-09,Nagpur,Maharashtra,West,Champions
IND_CUST_00044,2023-07-02,Howrah,West Bengal,East,New & Promising
IND_CUST_00045,2024-03-10,Hubballi,Karnataka,South,Champions
IND_CUST_00046,2023-04-17,Warangal,Telangana,South,Loyal Customers
IND_CUST_00047,2023-07-07,Mysuru,Karnataka,South,New & Promising
IND_CUST_00048,2023-03-27,Dwarka,Delhi,North,New & Promising
IND_CUST_00049,2024-03-31,Coimbatore,Tamil Nadu,South,New & Promising
IND_CUST_00050,2023-05-17,Nashik,Maharashtra,West,New & Promising
IND_CUST_00051,2023-12-02,Udaipur,Rajasthan,North,New & Promising
IND_CUST_00052,2024-08-29,Lucknow,Uttar Pradesh,North,Loyal Customers
IND_CUST_00053,2024-04-13,Kolkata,West Bengal,East,New & Promising
IND_CUST_00054,2024-08-24,Howrah,West Bengal,East,New & Promising
IND_CUST_00055,2024-07-24,Coimbatore,Tamil Nadu,South,New & Promising
IND_CUST_00056,2024-02-07,Kolkata,West Bengal,East,Champions
IND_CUST_00057,2024-06-23,Mumbai,Maharashtra,West,New & Promising
IND_CUST_00058,2023-03-13,Nagpur,Maharashtra,West,New & Promising
IND_CUST_00059,2023-01-24,Pune,Maharashtra,West,Champions
IND_CUST_00060,2024-09-15,Hubballi,Karnataka,South,New & Promising
IND_CUST_00061,2024-04-29,Hubballi,Karnataka,South,New & Promising
IND_CUST_00062,2023-02-25,Bengaluru,Karnataka,South,Lost Customers
IND_CUST_00063,2023-08-11,Rajkot,Gujarat,West,Lost Customers
IND_CUST_00064,2024-09-23,Hubballi,Karnataka,South,New & Promising
IND_CUST_00065,2023-06-28,Mangaluru,Karnataka,South,New & Promising
IND_CUST_00066,2024-03-09,Coimbatore,Tamil Nadu,South,Champions
IND_CUST_00067,2024-03-25,Mumbai,Maharashtra,West,New & Promising
IND_CUST_00068,2024-05-06,Lucknow,Uttar Pradesh,North,Loyal Customers
IND_CUST_00069,2023-07-08,Pune,Maharashtra,West,Lost Customers
IND_CUST_00070,2024-07-31,Kochi,Kerala,South,New & Promising
IND_CUST_00071,2024-02-24,Noida,Uttar Pradesh,North,New & Promising
IND_CUST_00072,2023-09-06,Nashik,Maharashtra,West,Lost Customers
IND_CUST_00073,2024-08-10,Pune,Maharashtra,West,Champions
